"filename", "language", "Python", "Markdown", "YAML", "CSV", "pip requirements", "Properties", "JSON", "Shell Script", "comment", "blank", "total"
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\realesrgan\__init__.py", "Python", 5, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\realesrgan\archs\__init__.py", "Python", 6, 0, 0, 0, 0, 0, 0, 0, 3, 2, 11
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\realesrgan\archs\discriminator_arch.py", "Python", 48, 0, 0, 0, 0, 0, 0, 0, 7, 13, 68
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\realesrgan\archs\srvgg_arch.py", "Python", 52, 0, 0, 0, 0, 0, 0, 0, 7, 11, 70
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\realesrgan\data\__init__.py", "Python", 6, 0, 0, 0, 0, 0, 0, 0, 3, 2, 11
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\realesrgan\data\realesrgan_dataset.py", "Python", 147, 0, 0, 0, 0, 0, 0, 0, 24, 22, 193
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\realesrgan\data\realesrgan_paired_dataset.py", "Python", 78, 0, 0, 0, 0, 0, 0, 0, 14, 17, 109
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\realesrgan\models\__init__.py", "Python", 6, 0, 0, 0, 0, 0, 0, 0, 3, 2, 11
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\realesrgan\models\realesrgan_model.py", "Python", 191, 0, 0, 0, 0, 0, 0, 0, 41, 27, 259
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\realesrgan\models\realesrnet_model.py", "Python", 138, 0, 0, 0, 0, 0, 0, 0, 33, 18, 189
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\realesrgan\train.py", "Python", 8, 0, 0, 0, 0, 0, 0, 0, 1, 3, 12
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\realesrgan\utils.py", "Python", 244, 0, 0, 0, 0, 0, 0, 0, 24, 46, 314
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\requirements.txt", "pip requirements", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
